Full Name,First Name,Last Name,Title of Presentation,Appeared,Paper Title,Link To Paper,Experiment Type,No Publications,Corresponding Chapter,Corresponding Chapter.1,Added to Zotero,Worker(s),Checked by RP,Action Needed
Abhijeet Chandra,abhijeet,chandra,A Theory of False Memory Preference: Evidence from a Field Experiment with Investors,Yes,,NO PAPER FOUND,,,,,,,,
Adam Dominiak,adam,dominiak,"""Choice under Uncertainty and Cognitive Load""",Yes,,NO PAPER FOUND,,,,,,,,
Adrian Stoian,adrian,stoian,Nudge nudge and say no more: How do reminders in the waiting room affect antibiotics use?,No,,NO PAPER FOUND,,,,,FALSE,,TRUE,
Aidin Hajikhameneh,aidin,hajikhameneh,,Yes,,NO PAPER FOUND,,,,,,,,
Akira Nagae,akira,nagae,Monetary Incentives and Support Groups Help People Help Themselves: A Field Experiment,No,,NO PAPER FOUND,Lab,X,,,FALSE,Ethan,TRUE,
Al Roth,al,roth,An Experimental Study of a Common Property Renewable Resource Game in Continuous Time,Yes,,https://books.google.com/books?hl=en&lr=&id=0cvADwAAQBAJ&oi=fnd&pg=PR13&dq=info:Z04Z5htubmoJ:scholar.google.com&ots=v4u0WahK2T&sig=TcItabsoKJcxzl5fY6poL1Z4pjo,,,,,,,,
Alasdair Brown,alasdair,brown,The Endowment Effect and Savings Decisions of the Poor,No,,https://academic.oup.com/ej/article-abstract/124/575/245/5076975,,x,,,FALSE,,TRUE,
Aldo Gutierrez Mendieta,aldo,mendieta,"""A test of opportunity cost neglect in the valuation of environmental resources""",No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,
Aldo GutiÃ©rrez Mendieta,aldo,mendieta,"""A Tale of Two Goods: The Role of Environmentally Friendly Products in Consumer Choice and Public Policy""",No,,NO PAPER FOUND,,x,,,FALSE,Ethan,TRUE,
Alec Brandon,alec,brandon,"""Beliefs and Energy Efficiency""",Yes,,https://www.nber.org/papers/w23277,,,,,,,,
Alejandro Hirmas,alejandro,hirmas,"""Intertemporal Social Preferences""",Yes,,NO PAPER FOUND,,,,,,,,
Alessandro INNOCENTI,alessandro,innocenti,Individual responsibility and public funding of health care: An experiment,Yes,,https://flore.unifi.it/handle/2158/1054898,,,,,,,,
Alessandro MARCHESIANI,alessandro,marchesiani,Strategic Play and Risk Aversion in One-Shot Normal-Form Games: An Experimental Study,No,,NO PAPER FOUND,,,,,FALSE,,TRUE,Add to new chapter folder
Alex Rees-Jones,alex,rees-jones,"""Participation in voluntary competitions and gender discrimination""",Yes,,NO PAPER FOUND,,,,,,,,
Alexis Villacis,alexis,villacis,"""Time Preferences, Loss Aversion, & Aspirations: Evidence from Field Experiments""",Yes,,https://onlinelibrary.wiley.com/doi/abs/10.1111/agec.12659,,,,,,,,
Ali Seyhun Saral,ali,saral,Can bank runs be prevented? An experimental analysis of stability funds and deposit insurance mechanisms,Yes,,https://www.nature.com/articles/s41598-020-70681-z,,,,,,,,
Alisa Frey,alisa,frey,A Natural Experiment on the Value of Strategic Unpredictability: Sign Stealing in Baseball,No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,
Alistair Munro,alistair,munro,Pessimism and Overcommitment,No,,https://academic.oup.com/qje/article-abstract/112/2/479/1870928,,,,,FALSE,,TRUE,
Alistair Wilson,alistair,wilson,Within and Across Class Envy: Anti-Social Behaviour in Hierarchical Groups,Yes,,https://link.springer.com/article/10.1007/s40881-016-0025-7,,,,,,,,
Alvin Roth,alvin,roth,Making an ambiguous box affects parameter of ambiguity,Yes,,https://books.google.com/books?hl=en&lr=&id=0cvADwAAQBAJ&oi=fnd&pg=PR13&dq=info:Z04Z5htubmoJ:scholar.google.com&ots=v4u0WahN6V&sig=UeTOgOdiksB0ev9vlFVeKEnbQlc,,,,,,,,
Amadou BOLY,amadou,boly,ROSCA as a Saving Commitment Device for Sophisticated Hyperbolic Discounters: Field Experiment from Vietnamâ€,Yes,,https://www.sciencedirect.com/science/article/pii/S0014292111000389,,,,,,,,
Amnon Rapoport,amnon,rapoport,Preference Construction by Choice,Yes,,NO PAPER FOUND,,,,,,,,
Andreas Leibbrandt,andreas,leibbrandt,Task difficulty and overconfidence. Evidence from distance running,Yes,,NO PAPER FOUND,,,,,,,TRUE,
Andreas Nicklisch,andreas,nicklisch,"""Information regime changes and path dependence - An experimental analysis of public goods contributions in heterogeneous groups""",No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,
Andreas Ortmann,andreas,ortmann,,Yes,,https://scholar.google.com/scholar?cluster=17218217844206246243&hl=en&oi=scholarr,,,,,,,,
Andrej Gill,andrej,gill,"Incentives, Framing, and Trust in AI: An experimental study",Yes,,https://pubsonline.informs.org/doi/abs/10.1287/isre.2023.1217,,,,,,,,
Angela Doku,angela,doku,"""Misspecified Learning in Technology Adoption: Experimental Evidence from Fertilizer Use in China""",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,no exp yet will have to add her later
Angela Stanton,angela,stanton,Communication and Coordination in the Collective Resistance Game,No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,no exp
Angela Sutan,angela,sutan,Value of time in a repeated and one-off setup,Yes,,NO PAPER FOUND,,,,,,,,
Angela SUTAN,angela,sutan,Envy and altruism in children,Yes,,NO PAPER FOUND,,,,,,,,
Angelo Ventrone,angelo,ventrone,â€œLie Oâ€™clock: Experimental Evidence on Intertemporal Lying Preferencesâ€,No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,no exp
Anjali Chandra,anjali,chandra,"""Experimental Evidence from an Integrated Early Childhood Parenting Program in Sierra Leone""",Yes,,NO PAPER FOUND,,,,,,,,
Ann-Katrin Kienle,ann-katrin,kienle,"""Can Virtual Bargaining Explain Coordination in Public Good Games Characterizing Team Production? With a lab experimental test.""",No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,
Anna Kerkhof,anna,kerkhof,Time Pressure and Regret in Sequential Search,Yes,,NO PAPER FOUND,,,,,,,,
