,Full Name,First Name,Last Name,Title of Presentation,Appeared,Paper Title,Link To Paper,Experiment Type,No Publications,Corresponding Chapter,Corresponding Chapter.1,Added to Zotero,Worker(s),Checked by RP,Action Needed
0,Abhijeet Chandra,abhijeet,chandra,A Theory of False Memory Preference: Evidence from a Field Experiment with Investors,Yes,,NO PAPER FOUND,,,,,,,,
1,Adam Dominiak,adam,dominiak,"""Choice under Uncertainty and Cognitive Load""",Yes,,NO PAPER FOUND,,,,,,,,
2,Adrian Stoian,adrian,stoian,Nudge nudge and say no more: How do reminders in the waiting room affect antibiotics use?,No,,NO PAPER FOUND,,,,,False,,True,
3,Aidin Hajikhameneh,aidin,hajikhameneh,,Yes,,NO PAPER FOUND,,,,,,,,
4,Akira Nagae,akira,nagae,Monetary Incentives and Support Groups Help People Help Themselves: A Field Experiment,No,,NO PAPER FOUND,Lab,X,,,False,Ethan,True,
5,Al Roth,al,roth,An Experimental Study of a Common Property Renewable Resource Game in Continuous Time,Yes,,https://books.google.com/books?hl=en&lr=&id=0cvADwAAQBAJ&oi=fnd&pg=PR13&dq=info:Z04Z5htubmoJ:scholar.google.com&ots=v4u0WahK2T&sig=TcItabsoKJcxzl5fY6poL1Z4pjo,,,,,,,,
6,Alasdair Brown,alasdair,brown,The Endowment Effect and Savings Decisions of the Poor,No,,https://academic.oup.com/ej/article-abstract/124/575/245/5076975,,x,,,False,,True,
7,Aldo Gutierrez Mendieta,aldo,mendieta,"""A test of opportunity cost neglect in the valuation of environmental resources""",No,,NO PAPER FOUND,,x,,,False,,True,
8,Aldo GutiÃ©rrez Mendieta,aldo,mendieta,"""A Tale of Two Goods: The Role of Environmentally Friendly Products in Consumer Choice and Public Policy""",No,,NO PAPER FOUND,,x,,,False,Ethan,True,
9,Alec Brandon,alec,brandon,"""Beliefs and Energy Efficiency""",Yes,,https://www.nber.org/papers/w23277,,,,,,,,
10,Alejandro Hirmas,alejandro,hirmas,"""Intertemporal Social Preferences""",Yes,,NO PAPER FOUND,,,,,,,,
11,Alessandro INNOCENTI,alessandro,innocenti,Individual responsibility and public funding of health care: An experiment,Yes,,https://flore.unifi.it/handle/2158/1054898,,,,,,,,
12,Alessandro MARCHESIANI,alessandro,marchesiani,Strategic Play and Risk Aversion in One-Shot Normal-Form Games: An Experimental Study,No,,NO PAPER FOUND,,,,,False,,True,Add to new chapter folder
13,Alex Rees-Jones,alex,rees-jones,"""Participation in voluntary competitions and gender discrimination""",Yes,,NO PAPER FOUND,,,,,,,,
14,Alexis Villacis,alexis,villacis,"""Time Preferences, Loss Aversion, & Aspirations: Evidence from Field Experiments""",Yes,,https://onlinelibrary.wiley.com/doi/abs/10.1111/agec.12659,,,,,,,,
15,Ali Seyhun Saral,ali,saral,Can bank runs be prevented? An experimental analysis of stability funds and deposit insurance mechanisms,Yes,,https://www.nature.com/articles/s41598-020-70681-z,,,,,,,,
16,Alisa Frey,alisa,frey,A Natural Experiment on the Value of Strategic Unpredictability: Sign Stealing in Baseball,No,,NO PAPER FOUND,,x,,,False,,True,
17,Alistair Munro,alistair,munro,Pessimism and Overcommitment,No,,https://academic.oup.com/qje/article-abstract/112/2/479/1870928,,,,,False,,True,
18,Alistair Wilson,alistair,wilson,Within and Across Class Envy: Anti-Social Behaviour in Hierarchical Groups,Yes,,https://link.springer.com/article/10.1007/s40881-016-0025-7,,,,,,,,
19,Alvin Roth,alvin,roth,Making an ambiguous box affects parameter of ambiguity,Yes,,https://books.google.com/books?hl=en&lr=&id=0cvADwAAQBAJ&oi=fnd&pg=PR13&dq=info:Z04Z5htubmoJ:scholar.google.com&ots=v4u0WahN6V&sig=UeTOgOdiksB0ev9vlFVeKEnbQlc,,,,,,,,
20,Amadou BOLY,amadou,boly,ROSCA as a Saving Commitment Device for Sophisticated Hyperbolic Discounters: Field Experiment from Vietnamâ€,Yes,,https://www.sciencedirect.com/science/article/pii/S0014292111000389,,,,,,,,
21,Amnon Rapoport,amnon,rapoport,Preference Construction by Choice,Yes,,NO PAPER FOUND,,,,,,,,
22,Andreas Leibbrandt,andreas,leibbrandt,Task difficulty and overconfidence. Evidence from distance running,Yes,,NO PAPER FOUND,,,,,,,True,
23,Andreas Nicklisch,andreas,nicklisch,"""Information regime changes and path dependence - An experimental analysis of public goods contributions in heterogeneous groups""",No,,NO PAPER FOUND,,x,,,False,,True,
24,Andreas Ortmann,andreas,ortmann,,Yes,,https://scholar.google.com/scholar?cluster=17218217844206246243&hl=en&oi=scholarr,,,,,,,,
25,Andrej Gill,andrej,gill,"Incentives, Framing, and Trust in AI: An experimental study",Yes,,https://pubsonline.informs.org/doi/abs/10.1287/isre.2023.1217,,,,,,,,
26,Angela Doku,angela,doku,"""Misspecified Learning in Technology Adoption: Experimental Evidence from Fertilizer Use in China""",No,,NO PAPER FOUND,,,,,False,,False,no exp yet will have to add her later
27,Angela Stanton,angela,stanton,Communication and Coordination in the Collective Resistance Game,No,,NO PAPER FOUND,,x,,,False,,True,no exp
28,Angela Sutan,angela,sutan,Value of time in a repeated and one-off setup,Yes,,NO PAPER FOUND,,,,,,,,
29,Angela SUTAN,angela,sutan,Envy and altruism in children,Yes,,NO PAPER FOUND,,,,,,,,
30,Angelo Ventrone,angelo,ventrone,â€œLie Oâ€™clock: Experimental Evidence on Intertemporal Lying Preferencesâ€,No,,NO PAPER FOUND,,x,,,False,,True,no exp
31,Anjali Chandra,anjali,chandra,"""Experimental Evidence from an Integrated Early Childhood Parenting Program in Sierra Leone""",Yes,,NO PAPER FOUND,,,,,,,,
32,Ann-Katrin Kienle,ann-katrin,kienle,"""Can Virtual Bargaining Explain Coordination in Public Good Games Characterizing Team Production? With a lab experimental test.""",No,,NO PAPER FOUND,,x,,,False,,True,
33,Anna Kerkhof,anna,kerkhof,Time Pressure and Regret in Sequential Search,Yes,,NO PAPER FOUND,,,,,,,,
34,Anna Rinaldi,anna,rinaldi,,No,,https://www.scirp.org/html/4-2700873_36834.htm,,x,,,False,,True,no exp
35,Anne Carpenter,anne,carpenter,"""Willingness to Pay Sovereign Debt: Does Type of Renegotiation Clause Matter?""",No,,NO PAPER FOUND,,x,,,False,,True,no exp
36,Antonia Grohmann,antonia,grohmann,Predicting choice adverse and choice loving behavior in a field expreiment with acrtual shoppers,Yes,,NO PAPER FOUND,,,,,,,,
37,Antonio Campos,antonio,campos,"""Private School Entry, Sorting, and the Performance of Public Schools: Evidence from Pakistan""",No,,https://books.google.com/books?hl=en&lr=&id=Xim7DwAAQBAJ&oi=fnd&pg=PA51&dq=info:4vZYru1DgUAJ:scholar.google.com&ots=nYlXJV9jgK&sig=6hPf61xPXTJG_YZFDba0y18vqio,,x,,,False,,True,
38,Antonio Penta,antonio,penta,"""Social preferences and image concerns in public good contributions""",No,,NO PAPER FOUND,,x,,,False,,True,no exp
39,Anya Samek,anya,samek,,Yes,,https://www.cambridge.org/core/journals/journal-of-pension-economics-and-finance/article/visual-tools-and-narratives-new-ways-to-improve-financial-literacy/6CA7426CF88099809C1460076C8357CD,,,,,,,,
40,Ao Wang,ao,wang,â€œAn Experiment on Cartel Leniencyâ€,No,,https://arxiv.org/abs/2307.09283,,x,,,False,,True,no exp
41,Arno Riedl,arno,riedl,"""Anticipatory Anxiety and Wishful Thinking""",Yes,,https://academic.oup.com/qje/article-abstract/108/2/437/1917560,,,,,,,,
42,Arthur Schneider,arthur,schneider,â€œRisk & Regret-Averse Bidders in Sealed-Bid Auctionsâ€,No,,NO PAPER FOUND,,x,,,False,,True,
43,Arthur Schram,arthur,schram,â€œDecision Making with Recommendationsâ€,Yes,,NO PAPER FOUND,,,,,,,,
44,Arthur SCHRAM,arthur,schram,â€œGive Ideology a (Second) Chance: An Experimental Analysis of Ideology in Repeated Social Dilemmasâ€,Yes,,NO PAPER FOUND,,,,,,,,
45,Ashlesha Datar,ashlesha,datar,"â€œImperfect Monitoring: A Laboratory Experiment,â€ ",No,,https://jamanetwork.com/journals/jamapediatrics/article-abstract/2668504,,x,,,False,,True,no exp
46,Astrid Gamba,astrid,gamba,Charitable giving and donors' profile: an experimental investigation,Yes,,NO PAPER FOUND,,,,,,,,
47,Atiyeh Yeganloo,atiyeh,yeganloo,"""The roots of cooperation""",No,,NO PAPER FOUND,,x,,,False,,True,
48,Audrey Hu,audrey,hu,"""Did the Ice Bucket Challenge Drain the Philanthropic Reservoir?: An Investigation Using A Real-Donation Lab Experiment""",No,,NO PAPER FOUND,,x,,,False,,True,no exp
49,Austin Bradley,austin,bradley,"""Fostering trust""",No,,"NO LINK FOUND, PAPER: Novel structural modes of multinuclear transition metal carboxylates with NO exogenous ligands.",,x,,,False,,True,
50,Axel Ockenfels,axel,ockenfels,"""Addressing the Global Learning Crisis: Nurturing Curiosity in the Classroom""",Yes,,https://academic.oup.com/ej/article-abstract/115/506/1054/5089410,,,,,,,,
51,Ayman Farahat,ayman,farahat,"""Sacrifice. An Experiment on the Political Economy of Extreme Intergroup Punishment""",No,,NO PAPER FOUND,,x,,,False,,True,
52,B. Douglas Bernheim,b.,bernheim,Preferences for redistribution in ethnically heterogeneous groups,Yes,,NO PAPER FOUND,,,,,,,,
53,B. Erin Fairweather,b.,fairweather,Voice Effects on Generosity towards an independent Decision Maker : Experimental Evidence,No,,NO PAPER FOUND,,x,,,False,,True,no exp
54,Bart Wilson,bart,wilson,,Yes,,https://journals.sagepub.com/doi/abs/10.1177/01461672012712009,,,,,,,,
55,Bei Zhang,bei,zhang,Choice between trust games with different multipliers and social distance: A virtual world experiment,No,,NO PAPER FOUND,,x,,,False,,True,no exp
56,Ben Fitch-Fleischmann,ben,fitch-fleischmann,Beyond fictitious play beliefs: Incorporating pattern recognition and similarity matching,No,,NO PAPER FOUND,,,,,False,,True,no exp
57,Ben Greiner,ben,greiner,Anchoring in ultimatum bargaining: The effects of competition and granularity,Yes,,https://mpra.ub.uni-muenchen.de/id/eprint/13513,,,,,,,,
58,Ben Grenier,ben,grenier,Does the behavior of my neighbors matter? Tax compliance and spillover effects in networks,No,,NO PAPER FOUND,,,,,False,,True,"check name, can't find grenier but there's a ben greiner."
59,Ben Grodeck,ben,grodeck,"""A Simple Experiment on Simple Bayesian Persuasion""",Yes,,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003301424-4/concrete-abstract-philipp-schoenegger-ben-grodeck,,,,,,,,
60,Benjamin CHIAO,benjamin,chiao,Belief Learning in an Unstable Infinite Game,No,Open innovation and organizational features: An experimental investigation - ScienceDirect,NO PAPER FOUND,Lab,,,Ch 3,False,,True,unsure of where to put it can't find this paper online
61,Benjamin Enke,benjamin,enke,"""Do Tax Deferred Accounts Improve Lifecycle Savings?""",No,Cognitive Biases: Mistakes or Missing Stakes? | The Review of Economics and Statistics | MIT Press,https://academic.oup.com/qje/article-abstract/133/4/1645/5025666,Lab,,19 incentives,,False,,True,
62,Benjamin Ho,benjamin,ho,Trustees and agents in corporate governance,No,Toward An Understanding of the Economics of Apologies: Evidence from a Large-Scale Natural Field Experiment | The Economic Journal | Oxford Academic (oup.com),https://www.nature.com/articles/s41562-017-0142,NFE,,7 - heterogeneity and moderation,17 - ethics,False,,True,
63,Benjamin Roth,benjamin,roth,Letting the Briber Go Free: An Experiment on Mitigating Harassment Bribes,No,"Does Good Advice Come Cheap? â€“â€“ On the Assessment of Risk Preferences in the Lab and the Field by Andrea Leuermann, Benjamin Roth :: SSRN",NO PAPER FOUND,AFE,,22 - preferences and beliefs,,False,,True,
64,Berenika Tuzilova,berenika,tuzilova,"""Enhancing tax compliance by increasing information salience: Natural field experiment""",No,,NO PAPER FOUND,,,,,False,,True,no paper
65,Bernard Balleine,bernard,balleine,An experimental study of gender differences in a matrilineal society,No,Human and Rodent Homologies in Action Control: Corticostriatal Determinants of Goal-Directed and Habitual Action | Neuropsychopharmacology (nature.com),NO PAPER FOUND,Lab,,,,False,,True,"not an econ guy, ignore"
66,Bernard RUFFIEUX,bernard,ruffieux,How voluntary agreements resolve social dilemmas,No,Environmental Labelling and Consumption Changes: A Food Choice Experiment | Environmental and Resource Economics (springer.com),NO PAPER FOUND,FFE,,ch 3 internal validity,ch - 16 generalizability and scaling,False,,True,
67,Bernd IRLENBUSCH,bernd,irlenbusch,â€œCan Context Effects Mitigate the Free-Riding Behavior That Leads to Negative Externalities? An Experimental Investigationâ€,No,An experimental test of design alternatives for the British 3G/UMTS auction - ScienceDirect,https://www.science.org/doi/abs/10.1126/science.1123633,Lab,,ch 15 building scientific knowledge,,False,,True,
68,Bettina ROCKENBACH,bettina,rockenbach,â€œIncreasing Employeesâ€™ Work-Related Stability in the Labâ€,No,Direct and indirect punishment among strangers in the field | PNAS,NO PAPER FOUND,NFE,,ch 3 internal validity,18 ethics,False,,True,
69,Bilal Kchouri,bilal,kchouri,,No,Lying for Money: The Role of Religion by bilal ksh :: SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4325957,Lab,,ch 4 statistical conclusion validity,18 ethics,False,,True,
70,Billur Aksoy,billur,aksoy,"""Overconfidence and Public Intoxication Arrest: Evidence from a University Town Police Log""",Yes,,https://www.sciencedirect.com/science/article/pii/S0167268119302148,,,,,,,,
71,Binh Le,binh,le,,No,,NO PAPER FOUND,,,,,False,,True,no exp
72,Bjoern Bartling,bjoern,bartling,"""Do people anticipate loss aversion in games?""",No,,https://academic.oup.com/restud/article-abstract/79/1/67/1565258,,,,,False,,False,all these bjorn bartlings are the same guy
73,Bjorn-Atle Reme,bjorn-atle,reme,Social motives in intergroup conflict and cooperation,No,,NO PAPER FOUND,,,,,False,,False,
74,Blanca Tena Estrada,blanca,estrada,Comparisons of Two Catch-Quota Management Regimes: An Experimental Investigation,No,,NO PAPER FOUND,,,,,False,,False,
